,objectid,uid,updated,nm_balai,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,kl_dat_das,thn_data
112,169,788e36de-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Seraya,33.0,6.0,PENGAMAN PANTAI,2013.0
113,170,788e371f-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Kubu,33.0,6.0,PENGAMAN PANTAI,2013.0
114,171,788e375c-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Seruyan,Seruyan Hilir,Sei Bakau,33.0,6.0,PENGAMAN PANTAI,2013.0
115,172,788e3798-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sungai Damar,33.0,6.0,PENGAMAN PANTAI,2013.0
116,173,788e37d1-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Tabuk,33.0,6.0,PENGAMAN PANTAI,2013.0
117,174,788e3808-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Cabang Barat,33.0,6.0,PENGAMAN PANTAI,2013.0
118,175,788e3840-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sungai Damar,33.0,6.0,PENGAMAN PANTAI,2014.0
119,176,788e387b-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Cabang Barat,33.0,6.0,PENGAMAN PANTAI,2014.0
120,177,788e38b1-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Seruyan,Seruyan Hilir,Sei Bakau,33.0,6.0,PENGAMAN PANTAI,2014.0
121,178,788e38e9-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Kubu,33.0,6.0,PENGAMAN PANTAI,2014.0
122,179,788e391d-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Keraya,33.0,6.0,PENGAMAN PANTAI,2015.0
123,180,788e3954-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Seruyan,Seruyan Hilir,Sei Bakau,33.0,6.0,PENGAMAN PANTAI,2015.0
124,181,788e3989-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sungai Damar,33.0,6.0,PENGAMAN PANTAI,2015.0
125,182,788e39c1-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Cabang Barat,33.0,6.0,PENGAMAN PANTAI,2015.0
126,183,788e39f7-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Timur,Teluk Sampit,Ujung Pandaran,33.0,6.0,PENGAMAN PANTAI,2016.0
127,184,788e3a30-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Keraya,33.0,6.0,PENGAMAN PANTAI,2017.0
128,185,788e3a66-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Sebuai Timur,33.0,6.0,PENGAMAN PANTAI,2019.0
129,186,788e3a9e-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Barat,Kumai,Keraya,33.0,6.0,PENGAMAN PANTAI,2019.0
130,187,788e3ad4-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Sukamara,Pantai Lunci,Sei Tabuk,33.0,6.0,PENGAMAN PANTAI,2019.0
131,188,788e3b0c-ca7a-11eb-a0e3-0050568846de,1629988541000,Tidak Diketahui,Tidak Diketahui,Kalimantan Tengah,Kotawaringin Timur,Teluk Sampit,Ujung Pandaran,33.0,6.0,PENGAMAN PANTAI,2019.0
132,190,f45f1e2c-9b74-480a-b1f0-5e89e5707427,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,"Kota
  Batam",Nongsa,Kabil,33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
133,191,c724576e-901a-4fce-8d0d-641df96a7494,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,Tanjungpinang,"Tanjungpinang
  Barat","Jalan
  Rajawali 2",33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
134,192,de2947e8-f6e9-4a11-8959-a68e3e50e261,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,Bintan,Teluk Sebong,"Desa
  Sebong Lagoi",33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
135,193,7593d5c3-e27c-4aa2-ad23-12f6f32e1ec7,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,Natuna,Bunguran Timur,Ranai,33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
136,194,0d687a6a-efec-441e-a177-a17592ade310,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,Tanjungpinang,"Tanjungpinang
  Timur","Jalan
  Merkar Baru Batu 9",33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
137,195,f70d1cbc-e6c3-4002-b497-b703a0438c22,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,Karimun,Tebing,"Perumahan
  BTN Bukit Balai Permai, Kelurahan Kapling",33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
138,196,966bfe92-6b56-46b8-9b74-b0a693383f49,1648829812000,BPPW Kepulauan Riau,Tidak Diketahui,Kepulauan Riau,Bintan,"Bintan
  Utara","Jl.
  Karya Praja, RT 5 RW 2 Kelurahan Tanjung Uban Selatan",33.0,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
139,197,976b17cc-3ff4-436a-bc7d-a39c81127286,1649668495000,BPPW Bali,51.0,Bali,Gianyar,Sukawati,Sukawati,33.0,5.0,Drainase Sukawati Kabupaten Gianyar,2021.0
140,199,f1cb8f4c-3679-4d2f-91eb-1db2daa848d6,1649949770000,BPPW Bengkulu,17.0,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,2022.0
141,200,0019fad3-46d8-450b-8125-f98716b35e4a,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,"Kota
  Bengkulu",Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
142,201,5fb91186-8cbd-4d4d-abaf-d9efa9ce1134,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
143,202,d2f29fd0-fe28-4b01-8a44-9dea0f593471,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
144,203,9cef111a-99db-46bf-b715-2ca83101cdbb,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
145,204,e9e92e52-648b-407b-82c0-4afc6668e343,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
146,205,e9d3c01e-3591-4d31-b72b-7d5c6978ddeb,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
147,206,fff4efc0-05af-46fe-9844-541c9d977fa6,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
148,207,48dcd0c5-698d-447e-a1bc-8c975b29c02f,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
149,208,4fd0748b-0c4c-4618-a754-0e831136e1ed,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kab. Kepahiang,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
150,209,c1558345-2ac0-4604-b43d-7d61ea80268b,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kab. Lebong,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
151,210,10610b56-8d91-4674-b8ed-2403b43961d1,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kab. Kepahiang,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
152,211,7b5012d5-0a75-4da1-9c3a-f74088001790,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
153,212,fd582fd3-6f11-479f-bd25-f0a7b2ce6bac,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kab. Seluma,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
154,213,724f5f81-cc86-4f63-ab06-525aca628cfb,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
155,214,ab72898c-c40b-4744-8b69-bd4886746a1b,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
156,215,c7810928-c292-4cd3-9c03-fe82589e35ec,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kab. Seluma,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
157,216,a83c5a95-4ae1-41d3-b759-fc229009e498,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kab. Bengkulu Utara,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
158,217,af6ecd76-24ce-457a-aac8-646ea7fbdd4f,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
159,218,c024d3a4-d302-4111-bbcf-8f0ccd4925c3,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
160,219,d944d8ce-525f-42f3-91f9-b52c4e649208,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
161,220,5f466c68-85b6-422b-bcd0-a2487bc0b70f,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
162,221,7e3abb86-ad14-497e-858f-225d8f578939,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
163,222,4ef7984a-8fc4-4443-bbe1-38f14f094ad0,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
164,223,929651e6-bc62-466d-a325-09f6667fe867,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
165,224,0d4b67bc-a964-4cb3-ab31-a752a75f44dd,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
166,225,5518132c-a485-464e-9ede-ee243a9c8a63,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
167,226,9d489fb4-3f66-41ec-981b-1f658d7f7b80,1649950442000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Betungan Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
168,227,c76ad3d3-dd2e-487f-901f-29b6760f0e6a,1649950574000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
169,228,f94cd8f3-7d47-4084-a1cd-4120b6e1ce79,1649950708000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
170,229,6d433f0a-ec9e-4892-93f9-bfb3a4b2bc23,1649950739000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
171,230,f7ef8d3e-3156-4b04-b9cc-ecccaf14d74c,1649950764000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
172,231,49123ead-eb60-4a48-9bd6-3f49a4e8469e,1649950773000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
173,232,95cc3f6b-b8ad-4ef6-b4e3-e3512416fcad,1649950782000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
174,233,11cc0782-fe1b-45a9-9a6c-bd627bd72e39,1649950798000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
175,234,15ee2b77-3a80-4899-9428-2a03c85c9d42,1649950911000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
176,235,e0678731-a19c-4545-aefa-793befd499ea,1649950938000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
177,236,f5ff8f2d-7074-4c14-88a0-1e5a0828d9a8,1649950946000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
178,237,21f17924-e1f1-48ad-95b6-dbeade2bdc74,1649950957000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
179,238,7bff0fc3-34db-4d96-b77c-258f39a94b09,1649950966000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
180,239,4f2f8031-94af-490d-8a22-b037bf55a6f1,1649950973000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
181,240,9a494c19-d37f-4827-b376-114842dbf219,1649951004000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
182,241,a380a649-e9b8-4376-8c00-16fab8eb7229,1649951015000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
183,242,3aa20305-bb36-4fe2-8f95-c361e1f7df96,1649951028000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
184,243,7e1a4d9a-9164-492a-bad5-b25f8e438a69,1649951035000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
185,244,b47e85a7-2869-403d-8abc-e552776a20f9,1649951044000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
186,245,1dae9051-7bd9-43fa-a118-e5d098a6bef4,1649951051000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
187,246,4df8e627-b44b-4e28-bab4-95d12e5326f3,1649951060000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
188,247,554c1abe-3b61-455e-af0b-0d750f50e41e,1649951070000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
189,248,bf2a5b6d-28e8-458e-893f-2d5d9b30f2f4,1649951079000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
190,249,ff48ef52-a931-448d-8480-f47e243d10a6,1649951089000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
191,250,9a8ef182-de94-4fac-890f-00ee8b365adb,1649951096000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
192,251,ee33f992-e533-4f97-909a-76cf599106ea,1649951105000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
193,252,c9045f4f-0347-4dd2-a956-4feb05a3427c,1649951114000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
194,253,a7cb3810-2c83-4627-a84f-0078760a884a,1649951122000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
195,254,76c9947d-cfa1-4965-855b-10e3dab1bffd,1649951129000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
196,255,186a3085-e517-467d-8186-f7a7ae8bfa2a,1649951138000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
197,256,526ab1be-b0f1-4c74-bc11-996848e06423,1649951145000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
198,257,fc76947a-4463-4437-91ea-4eec9a30b325,1649951152000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
199,258,23dfbbb7-2351-4127-a669-487eb8354059,1649951162000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
200,259,2e58a55b-f530-4e53-8e10-be8e780c5e7b,1649951172000,BPPW Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
201,260,9387ebe1-5490-4c81-aa12-4581cb5e4e69,1650272752000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
202,261,e7f85deb-bd38-490b-91f6-e2801bb4db95,1650272800000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
203,262,2f1a92a4-ceba-4445-a129-ad30a2914b6c,1650272867000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
204,263,479dbbd2-5bd3-4493-a759-85a91fc32f8e,1650272926000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
205,264,eb6b3e31-25c6-4c07-811e-3385c0148e28,1650272979000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
206,265,d2de0e4e-2e5f-4754-bfb0-086a2bc39c22,1650273016000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
207,266,10eb2906-1a81-4d81-9ce8-a26d24e1ad48,1650273065000,BPPW Bengkulu,Tidak Diketahui,Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
208,267,31e2f7ea-7581-43a7-95e8-d363d2029c64,1650273120000,BPPW Bengkulu,17.0,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui,Tidak Diketahui
