name,adm1__id
"Aceh","1"
"Bali","2"
"Bangka Belitung","3"
"Banten","4"
"Bengkulu","5"
"Gorontalo","6"
"Jakarta Raya","7"
"Jambi","8"
"Jawa Barat","9"
"Jawa Tengah","10"
"Jawa Timur","11"
"Kalimantan Barat","12"
"Kalimantan Selatan","13"
"Kalimantan Tengah","14"
"Kalimantan Timur","15"
"Kepulauan Riau","16"
"Lampung","17"
"Maluku Utara","18"
"Maluku","19"
"Nusa Tenggara Barat","20"
"Nusa Tenggara Timur","21"
"Papua Barat","22"
"Papua","23"
"Riau","24"
"Sulawesi Barat","25"
"Sulawesi Selatan","26"
"Sulawesi Tengah","27"
"Sulawesi Tenggara","28"
"Sulawesi Utara","29"
"Sumatera Barat","30"
"Sumatera Selatan","31"
"Sumatera Utara","32"
"Yogyakarta","33"