time,weathercode (wmo code),temperature_2m_mean (Â°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,20.9,29.40,29.40
2020-01-02,63,21.1,17.30,17.30
2020-01-03,55,21.8,4.50,4.50
2020-01-04,63,21.6,8.10,8.10
2020-01-05,63,21.5,14.60,14.60
2020-01-06,63,21.3,15.80,15.80
2020-01-07,63,21.4,16.00,16.00
2020-01-08,65,21.2,31.80,31.80
2020-01-09,63,21.3,37.00,37.00
2020-01-10,63,20.9,43.20,43.20
2020-01-11,61,21.1,5.70,5.70
2020-01-12,51,22.5,2.40,2.40
2020-01-13,51,22.2,0.50,0.50
2020-01-14,53,22.1,2.90,2.90
2020-01-15,63,22.1,12.10,12.10
2020-01-16,63,22.0,12.40,12.40
2020-01-17,63,22.4,5.70,5.70
2020-01-18,55,22.4,4.70,4.70
2020-01-19,63,22.4,15.90,15.90
2020-01-20,63,22.3,8.10,8.10
2020-01-21,61,22.2,7.70,7.70
2020-01-22,63,22.2,16.10,16.10
2020-01-23,63,22.1,22.20,22.20
2020-01-24,63,22.0,21.70,21.70
2020-01-25,65,21.6,110.20,110.20
2020-01-26,63,21.8,26.40,26.40
2020-01-27,63,21.8,16.40,16.40
2020-01-28,63,22.5,6.80,6.80
2020-01-29,61,22.7,4.40,4.40
2020-01-30,53,22.0,1.90,1.90
2020-01-31,63,21.7,7.10,7.10
2020-02-01,63,21.8,22.20,22.20
2020-02-02,63,21.6,30.50,30.50
2020-02-03,63,21.9,9.50,9.50
2020-02-04,63,21.5,17.00,17.00
2020-02-05,63,21.7,25.80,25.80
2020-02-06,63,21.5,22.30,22.30
2020-02-07,63,21.6,21.10,21.10
2020-02-08,55,21.2,10.60,10.60
2020-02-09,63,21.0,18.40,18.40
2020-02-10,63,22.0,18.00,18.00
2020-02-11,61,21.6,11.90,11.90
2020-02-12,63,22.0,20.30,20.30
2020-02-13,63,22.0,11.20,11.20
2020-02-14,65,21.9,20.90,20.90
2020-02-15,65,21.8,44.40,44.40
2020-02-16,63,21.7,28.00,28.00
2020-02-17,63,21.2,23.20,23.20
2020-02-18,65,21.5,35.60,35.60
2020-02-19,63,21.3,20.50,20.50
2020-02-20,63,21.1,10.70,10.70
2020-02-21,63,21.4,14.10,14.10
2020-02-22,63,21.9,11.00,11.00
2020-02-23,55,22.1,5.10,5.10
2020-02-24,63,21.5,12.40,12.40
2020-02-25,61,21.6,12.30,12.30
2020-02-26,63,21.7,15.90,15.90
2020-02-27,63,22.0,12.90,12.90
2020-02-28,63,22.2,16.50,16.50
2020-02-29,63,22.0,17.10,17.10
2020-03-01,65,21.9,36.10,36.10
2020-03-02,63,22.6,7.30,7.30
2020-03-03,61,22.4,7.00,7.00
2020-03-04,63,21.9,31.70,31.70
2020-03-05,63,21.5,38.10,38.10
2020-03-06,63,21.8,11.80,11.80
2020-03-07,53,21.4,6.20,6.20
2020-03-08,61,21.7,10.40,10.40
2020-03-09,61,21.8,8.90,8.90
2020-03-10,63,22.2,11.80,11.80
2020-03-11,61,22.2,6.10,6.10
2020-03-12,55,21.8,5.40,5.40
2020-03-13,61,22.3,4.90,4.90
2020-03-14,63,22.4,11.70,11.70
2020-03-15,63,22.3,9.60,9.60
2020-03-16,63,22.1,16.50,16.50
2020-03-17,63,22.2,7.70,7.70
2020-03-18,65,22.1,15.30,15.30
2020-03-19,63,21.8,19.60,19.60
2020-03-20,63,21.4,22.10,22.10
2020-03-21,61,21.8,3.60,3.60
2020-03-22,53,22.1,1.40,1.40
2020-03-23,61,21.3,11.40,11.40
2020-03-24,63,21.5,7.40,7.40
2020-03-25,63,22.1,15.00,15.00
2020-03-26,63,22.0,13.80,13.80
2020-03-27,63,22.1,26.00,26.00
2020-03-28,63,22.1,14.60,14.60
2020-03-29,63,21.7,18.60,18.60
2020-03-30,63,21.5,20.80,20.80
2020-03-31,63,21.9,22.20,22.20
2020-04-01,61,22.3,9.00,9.00
2020-04-02,61,22.5,13.20,13.20
2020-04-03,63,22.2,14.90,14.90
2020-04-04,63,22.0,31.90,31.90
2020-04-05,63,22.3,25.00,25.00
2020-04-06,63,21.6,16.60,16.60
2020-04-07,63,21.8,26.60,26.60
2020-04-08,61,22.0,18.40,18.40
2020-04-09,63,22.0,18.30,18.30
2020-04-10,63,21.9,15.50,15.50
2020-04-11,61,22.4,4.10,4.10
2020-04-12,53,22.5,1.90,1.90
2020-04-13,63,22.2,19.50,19.50
2020-04-14,61,21.7,7.30,7.30
2020-04-15,61,21.5,7.90,7.90
2020-04-16,63,22.0,17.10,17.10
2020-04-17,63,22.0,9.30,9.30
2020-04-18,61,21.7,15.60,15.60
2020-04-19,63,22.7,7.70,7.70
2020-04-20,63,22.7,6.30,6.30
2020-04-21,55,22.8,7.20,7.20
2020-04-22,53,22.5,3.60,3.60
2020-04-23,53,22.9,2.10,2.10
2020-04-24,63,22.0,13.20,13.20
2020-04-25,51,22.3,0.10,0.10
2020-04-26,53,22.2,5.00,5.00
2020-04-27,63,21.5,13.10,13.10
2020-04-28,63,21.2,17.50,17.50
2020-04-29,53,21.9,2.80,2.80
2020-04-30,51,22.2,0.50,0.50
2020-05-01,63,22.0,16.60,16.60
2020-05-02,63,20.9,18.70,18.70
2020-05-03,63,21.8,8.90,8.90
2020-05-04,61,22.0,4.20,4.20
2020-05-05,63,22.1,10.00,10.00
2020-05-06,63,22.1,37.20,37.20
2020-05-07,63,22.3,18.00,18.00
2020-05-08,51,22.5,1.20,1.20
2020-05-09,61,22.5,8.30,8.30
2020-05-10,63,22.3,10.70,10.70
2020-05-11,63,21.6,25.40,25.40
2020-05-12,65,22.0,17.50,17.50
2020-05-13,53,22.1,2.90,2.90
2020-05-14,51,21.6,0.80,0.80
2020-05-15,51,21.9,0.40,0.40
2020-05-16,63,22.3,7.10,7.10
2020-05-17,65,22.2,25.90,25.90
2020-05-18,63,21.6,24.50,24.50
2020-05-19,63,22.0,16.30,16.30
2020-05-20,63,22.2,13.30,13.30
2020-05-21,53,22.9,3.30,3.30
2020-05-22,61,22.8,3.50,3.50
2020-05-23,51,22.9,0.20,0.20
2020-05-24,63,22.5,8.70,8.70
2020-05-25,63,22.2,12.60,12.60
2020-05-26,63,21.9,16.20,16.20
2020-05-27,63,21.5,9.90,9.90
2020-05-28,63,21.6,8.60,8.60
2020-05-29,63,21.8,11.10,11.10
2020-05-30,61,21.8,6.30,6.30
2020-05-31,55,21.5,5.00,5.00
2020-06-01,61,22.0,4.60,4.60
2020-06-02,51,22.2,0.80,0.80
2020-06-03,55,21.9,2.70,2.70
2020-06-04,3,21.1,0.00,0.00
2020-06-05,3,21.4,0.00,0.00
2020-06-06,51,21.6,2.30,2.30
2020-06-07,51,21.6,1.70,1.70
2020-06-08,3,21.9,0.00,0.00
2020-06-09,53,21.8,0.80,0.80
2020-06-10,63,21.9,8.00,8.00
2020-06-11,53,21.8,0.80,0.80
2020-06-12,3,22.0,0.00,0.00
2020-06-13,3,22.0,0.00,0.00
2020-06-14,2,22.0,0.00,0.00
2020-06-15,61,22.1,6.10,6.10
2020-06-16,51,22.1,1.10,1.10
2020-06-17,51,22.0,0.30,0.30
2020-06-18,61,21.6,3.60,3.60
2020-06-19,63,21.2,9.20,9.20
2020-06-20,51,21.6,0.10,0.10
2020-06-21,51,21.6,0.40,0.40
2020-06-22,63,21.2,5.60,5.60
2020-06-23,55,21.1,2.60,2.60
2020-06-24,51,21.1,1.10,1.10
2020-06-25,51,21.7,0.30,0.30
2020-06-26,51,21.6,2.00,2.00
2020-06-27,51,22.0,0.50,0.50
2020-06-28,51,21.7,0.10,0.10
2020-06-29,2,21.4,0.00,0.00
2020-06-30,2,21.4,0.00,0.00
2020-07-01,51,21.5,0.20,0.20
2020-07-02,61,21.1,4.60,4.60
2020-07-03,63,21.4,4.30,4.30
2020-07-04,51,21.1,0.30,0.30
2020-07-05,2,21.2,0.00,0.00
2020-07-06,63,20.6,6.00,6.00
2020-07-07,53,20.7,1.80,1.80
2020-07-08,51,21.0,0.80,0.80
2020-07-09,3,21.1,0.00,0.00
2020-07-10,51,21.2,0.60,0.60
2020-07-11,3,22.1,0.00,0.00
2020-07-12,51,22.0,0.10,0.10
2020-07-13,51,22.2,0.70,0.70
2020-07-14,53,21.9,1.90,1.90
2020-07-15,53,21.9,1.60,1.60
2020-07-16,3,22.4,0.00,0.00
2020-07-17,51,22.7,0.70,0.70
2020-07-18,2,22.3,0.00,0.00
2020-07-19,51,21.9,1.00,1.00
2020-07-20,53,21.7,2.80,2.80
2020-07-21,51,21.9,1.10,1.10
2020-07-22,51,21.8,0.80,0.80
2020-07-23,51,21.8,0.80,0.80
2020-07-24,1,21.1,0.00,0.00
2020-07-25,3,20.2,0.00,0.00
2020-07-26,2,20.7,0.00,0.00
2020-07-27,1,20.5,0.00,0.00
2020-07-28,2,20.2,0.00,0.00
2020-07-29,2,20.4,0.00,0.00
2020-07-30,3,20.0,0.00,0.00
2020-07-31,51,20.0,0.20,0.20
2020-08-01,1,21.0,0.00,0.00
2020-08-02,3,21.6,0.00,0.00
2020-08-03,3,22.6,0.00,0.00
2020-08-04,3,22.2,0.00,0.00
2020-08-05,51,22.4,1.20,1.20
2020-08-06,61,22.4,2.40,2.40
2020-08-07,53,22.8,3.10,3.10
2020-08-08,51,22.8,2.40,2.40
2020-08-09,51,22.8,3.50,3.50
2020-08-10,2,22.9,0.00,0.00
2020-08-11,63,21.8,10.80,10.80
2020-08-12,51,22.1,0.20,0.20
2020-08-13,63,21.3,14.00,14.00
2020-08-14,63,21.3,8.60,8.60
2020-08-15,51,21.9,1.30,1.30
2020-08-16,61,21.6,2.40,2.40
2020-08-17,51,21.8,1.40,1.40
2020-08-18,51,21.6,1.80,1.80
2020-08-19,3,22.0,0.00,0.00
2020-08-20,3,22.2,0.00,0.00
2020-08-21,1,22.4,0.00,0.00
2020-08-22,51,22.1,0.80,0.80
2020-08-23,53,22.9,2.80,2.80
2020-08-24,51,22.4,0.40,0.40
2020-08-25,2,21.9,0.00,0.00
2020-08-26,2,21.1,0.00,0.00
2020-08-27,2,21.2,0.00,0.00
2020-08-28,3,21.8,0.00,0.00
2020-08-29,51,21.3,1.40,1.40
2020-08-30,3,22.1,0.00,0.00
2020-08-31,3,22.3,0.00,0.00
2020-09-01,2,22.2,0.00,0.00
2020-09-02,53,21.3,4.20,4.20
2020-09-03,63,21.5,11.40,11.40
2020-09-04,61,22.1,6.20,6.20
2020-09-05,51,22.1,1.10,1.10
2020-09-06,2,21.7,0.00,0.00
2020-09-07,2,22.0,0.00,0.00
2020-09-08,2,22.5,0.00,0.00
2020-09-09,2,23.0,0.00,0.00
2020-09-10,53,22.3,2.20,2.20
2020-09-11,3,22.1,0.00,0.00
2020-09-12,2,22.0,0.00,0.00
2020-09-13,51,21.5,0.60,0.60
2020-09-14,51,21.9,0.90,0.90
2020-09-15,51,21.7,0.20,0.20
2020-09-16,3,21.3,0.00,0.00
2020-09-17,51,22.2,0.30,0.30
2020-09-18,2,23.2,0.00,0.00
2020-09-19,2,23.7,0.00,0.00
2020-09-20,51,23.3,1.50,1.50
2020-09-21,51,22.5,1.40,1.40
2020-09-22,63,21.3,11.70,11.70
2020-09-23,53,22.8,1.50,1.50
2020-09-24,2,23.7,0.00,0.00
2020-09-25,2,23.1,0.00,0.00
2020-09-26,51,22.6,1.30,1.30
2020-09-27,63,21.7,8.00,8.00
2020-09-28,51,21.7,0.40,0.40
2020-09-29,51,21.2,0.40,0.40
2020-09-30,2,22.5,0.00,0.00
2020-10-01,53,23.5,1.20,1.20
2020-10-02,63,22.5,18.60,18.60
2020-10-03,51,22.1,2.10,2.10
2020-10-04,51,21.5,1.30,1.30
2020-10-05,53,21.1,1.70,1.70
2020-10-06,53,21.1,2.70,2.70
2020-10-07,51,21.8,1.60,1.60
2020-10-08,53,22.1,1.90,1.90
2020-10-09,55,22.1,4.00,4.00
2020-10-10,63,21.4,6.90,6.90
2020-10-11,61,22.0,3.60,3.60
2020-10-12,63,22.1,13.80,13.80
2020-10-13,55,22.0,3.60,3.60
2020-10-14,51,22.8,0.20,0.20
2020-10-15,51,22.2,1.30,1.30
2020-10-16,63,21.6,11.40,11.40
2020-10-17,63,21.7,7.40,7.40
2020-10-18,63,21.4,30.70,30.70
2020-10-19,63,21.3,16.50,16.50
2020-10-20,63,21.6,14.60,14.60
2020-10-21,61,21.6,19.70,19.70
2020-10-22,65,21.7,48.10,48.10
2020-10-23,63,21.6,29.80,29.80
2020-10-24,63,21.9,8.10,8.10
2020-10-25,65,21.4,24.60,24.60
2020-10-26,65,21.4,25.60,25.60
2020-10-27,63,20.8,30.30,30.30
2020-10-28,63,21.8,4.80,4.80
2020-10-29,61,22.0,4.30,4.30
2020-10-30,61,21.6,7.70,7.70
2020-10-31,63,21.4,37.50,37.50
2020-11-01,65,21.6,35.20,35.20
2020-11-02,63,21.6,11.90,11.90
2020-11-03,51,22.0,0.80,0.80
2020-11-04,61,22.1,7.00,7.00
2020-11-05,63,21.8,8.80,8.80
2020-11-06,51,22.1,0.40,0.40
2020-11-07,61,22.4,6.50,6.50
2020-11-08,61,21.9,4.50,4.50
2020-11-09,63,21.3,14.20,14.20
2020-11-10,61,21.6,3.70,3.70
2020-11-11,51,22.1,0.60,0.60
2020-11-12,63,22.5,5.10,5.10
2020-11-13,53,22.6,2.50,2.50
2020-11-14,53,22.8,2.10,2.10
2020-11-15,53,22.3,2.30,2.30
2020-11-16,63,22.4,7.80,7.80
2020-11-17,51,22.2,2.00,2.00
2020-11-18,53,22.1,3.00,3.00
2020-11-19,61,22.5,3.00,3.00
2020-11-20,63,22.0,16.30,16.30
2020-11-21,63,22.0,23.00,23.00
2020-11-22,63,21.7,18.20,18.20
2020-11-23,63,21.2,17.60,17.60
2020-11-24,65,21.3,26.20,26.20
2020-11-25,63,21.2,18.50,18.50
2020-11-26,63,21.9,9.90,9.90
2020-11-27,53,21.8,3.60,3.60
2020-11-28,55,21.5,5.90,5.90
2020-11-29,63,20.7,15.10,15.10
2020-11-30,63,20.6,40.10,40.10
2020-12-01,63,21.2,24.50,24.50
2020-12-02,63,21.9,16.60,16.60
2020-12-03,63,21.5,16.90,16.90
2020-12-04,63,21.7,28.70,28.70
2020-12-05,63,21.1,11.90,11.90
2020-12-06,61,20.8,9.30,9.30
2020-12-07,61,20.6,11.80,11.80
2020-12-08,51,21.7,0.50,0.50
2020-12-09,63,21.2,14.50,14.50
2020-12-10,63,21.3,9.00,9.00
2020-12-11,53,21.3,7.20,7.20
2020-12-12,63,20.8,31.20,31.20
2020-12-13,63,20.8,20.30,20.30
2020-12-14,63,21.1,41.10,41.10
2020-12-15,61,20.9,23.90,23.90
2020-12-16,63,21.2,22.20,22.20
2020-12-17,53,21.7,8.50,8.50
2020-12-18,63,20.7,17.60,17.60
2020-12-19,51,21.3,0.30,0.30
2020-12-20,51,21.8,1.40,1.40
2020-12-21,61,21.2,9.30,9.30
2020-12-22,63,21.2,11.50,11.50
2020-12-23,65,21.6,22.00,22.00
2020-12-24,63,21.5,25.00,25.00
2020-12-25,63,21.2,30.30,30.30
2020-12-26,63,21.4,13.70,13.70
2020-12-27,63,21.6,23.70,23.70
2020-12-28,63,21.2,14.00,14.00
2020-12-29,63,20.9,26.80,26.80
2020-12-30,63,20.8,22.10,22.10
2020-12-31,63,20.5,25.70,25.70
2021-01-01,63,20.6,22.40,22.40
2021-01-02,55,21.0,7.30,7.30
2021-01-03,65,21.2,30.60,30.60
2021-01-04,63,21.2,29.10,29.10
2021-01-05,63,21.4,12.30,12.30
2021-01-06,63,21.3,12.50,12.50
2021-01-07,63,20.8,22.70,22.70
2021-01-08,61,21.6,8.70,8.70
2021-01-09,63,21.6,26.30,26.30
2021-01-10,65,21.0,69.60,69.60
2021-01-11,65,21.6,50.30,50.30
2021-01-12,63,21.0,29.00,29.00
2021-01-13,61,21.1,11.90,11.90
2021-01-14,61,20.6,7.80,7.80
2021-01-15,51,22.2,0.20,0.20
2021-01-16,55,21.7,2.40,2.40
2021-01-17,53,21.4,3.50,3.50
2021-01-18,61,20.3,8.10,8.10
2021-01-19,53,20.0,8.60,8.60
2021-01-20,63,20.6,14.40,14.40
2021-01-21,63,21.2,16.30,16.30
2021-01-22,61,21.1,6.50,6.50
2021-01-23,61,21.4,4.70,4.70
2021-01-24,63,21.0,11.10,11.10
2021-01-25,55,20.8,6.90,6.90
2021-01-26,65,21.2,30.90,30.90
2021-01-27,63,20.6,37.40,37.40
2021-01-28,61,20.4,13.70,13.70
2021-01-29,61,19.7,16.80,16.80
2021-01-30,61,19.9,12.80,12.80
2021-01-31,63,20.2,17.00,17.00
2021-02-01,63,20.9,20.10,20.10
2021-02-02,61,21.3,5.50,5.50
2021-02-03,61,20.5,13.80,13.80
2021-02-04,63,20.8,16.50,16.50
2021-02-05,61,21.1,9.10,9.10
2021-02-06,61,21.2,6.20,6.20
2021-02-07,63,20.8,19.30,19.30
2021-02-08,63,21.0,12.70,12.70
2021-02-09,63,21.1,11.50,11.50
2021-02-10,61,21.4,9.50,9.50
2021-02-11,53,22.1,1.60,1.60
2021-02-12,63,21.5,13.70,13.70
2021-02-13,55,21.5,5.90,5.90
2021-02-14,63,21.2,9.80,9.80
2021-02-15,55,21.3,3.60,3.60
2021-02-16,63,21.3,17.70,17.70
2021-02-17,55,21.1,9.80,9.80
2021-02-18,63,20.9,26.30,26.30
2021-02-19,61,19.9,28.30,28.30
2021-02-20,61,20.1,13.20,13.20
2021-02-21,63,21.0,17.40,17.40
2021-02-22,61,21.5,5.30,5.30
2021-02-23,63,21.8,6.60,6.60
2021-02-24,61,21.1,6.40,6.40
2021-02-25,63,20.7,14.90,14.90
2021-02-26,61,20.9,9.40,9.40
2021-02-27,51,22.1,1.50,1.50
2021-02-28,55,22.1,5.30,5.30
2021-03-01,63,21.9,15.50,15.50
2021-03-02,61,21.8,8.40,8.40
2021-03-03,65,21.5,18.90,18.90
2021-03-04,63,21.5,20.50,20.50
2021-03-05,61,21.9,5.30,5.30
2021-03-06,63,21.9,6.50,6.50
2021-03-07,63,21.2,14.40,14.40
2021-03-08,61,20.4,16.10,16.10
2021-03-09,53,21.5,3.30,3.30
2021-03-10,61,20.9,4.00,4.00
2021-03-11,61,21.3,8.90,8.90
2021-03-12,63,20.9,15.10,15.10
2021-03-13,63,21.2,9.20,9.20
2021-03-14,63,20.4,26.20,26.20
2021-03-15,63,21.5,5.30,5.30
2021-03-16,63,21.5,21.00,21.00
2021-03-17,63,21.3,14.70,14.70
2021-03-18,63,21.4,18.70,18.70
2021-03-19,63,21.2,21.60,21.60
2021-03-20,51,21.8,1.00,1.00
2021-03-21,63,21.8,10.30,10.30
2021-03-22,65,21.4,28.40,28.40
2021-03-23,63,21.5,15.60,15.60
2021-03-24,65,21.2,28.80,28.80
2021-03-25,63,21.3,19.20,19.20
2021-03-26,63,21.7,17.20,17.20
