subnational1,year,tc_loss
Aceh,2018,1995.804347826087
Bali,2018,35.513888888888886
Banten,2018,420.296875
Bengkulu,2018,2452.1875
DI Yogyakarta,2018,27.6
DKI Jakarta,2018,0.0
Gorontalo,2018,1153.7142857142858
Jambi,2018,6318.954545454545
Jawa Barat,2018,168.12962962962962
Jawa Tengah,2018,72.13194444444444
Jawa Timur,2018,118.4342105263158
Kalimantan Barat,2018,11185.919642857143
Kalimantan Selatan,2018,2897.644230769231
Kalimantan Tengah,2018,7766.455357142857
Kalimantan Timur,2018,13096.5625
Kepulauan Bangka Belitung,2018,3180.214285714286
Kepulauan Riau,2018,901.0535714285714
Lampung,2018,804.2946428571429
Maluku,2018,1015.2727272727273
Maluku Utara,2018,1370.6666666666667
Nusa Tenggara Barat,2018,832.925
Nusa Tenggara Timur,2018,257.5178571428572
Papua,2018,1193.6293103448277
Papua Barat,2018,1858.5568181818185
Riau,2018,8419.083333333334
Sulawesi Barat,2018,2574.575
Sulawesi Selatan,2018,807.2083333333334
Sulawesi Tengah,2018,3391.3522727272725
Sulawesi Tenggara,2018,2017.09375
Sulawesi Utara,2018,499.0916666666666
Sumatera Barat,2018,1863.1
Sumatera Selatan,2018,8276.691666666668
Sumatera Utara,2018,1949.4264705882356
Aceh,2019,1237.1576086956522
Bali,2019,81.70833333333333
Banten,2019,585.59375
Bengkulu,2019,1815.1375
DI Yogyakarta,2019,14.1
DKI Jakarta,2019,0.0208333333333333
Gorontalo,2019,1588.5357142857142
Jambi,2019,6117.818181818182
Jawa Barat,2019,259.3888888888889
Jawa Tengah,2019,78.53125
Jawa Timur,2019,140.76973684210526
Kalimantan Barat,2019,10067.455357142857
Kalimantan Selatan,2019,3407.730769230769
Kalimantan Tengah,2019,8581.1875
Kalimantan Timur,2019,11450.669642857143
Kepulauan Bangka Belitung,2019,3638.017857142857
Kepulauan Riau,2019,1265.9642857142858
Lampung,2019,1026.3482142857142
Maluku,2019,1569.659090909091
Maluku Utara,2019,1567.75
Nusa Tenggara Barat,2019,887.8
Nusa Tenggara Timur,2019,387.1904761904762
Papua,2019,1187.7543103448277
Papua Barat,2019,1500.1363636363635
Riau,2019,8561.802083333334
Sulawesi Barat,2019,2590.825
Sulawesi Selatan,2019,956.2135416666666
Sulawesi Tengah,2019,4116.886363636364
Sulawesi Tenggara,2019,2918.625
Sulawesi Utara,2019,596.9833333333333
Sumatera Barat,2019,1542.01875
Sumatera Selatan,2019,6739.091666666666
Sumatera Utara,2019,1533.2095588235295
Aceh,2020,1310.6032608695652
Bali,2020,18.666666666666668
Banten,2020,252.9375
Bengkulu,2020,1622.8125
DI Yogyakarta,2020,11.35
DKI Jakarta,2020,0.0625
Gorontalo,2020,436.0357142857143
Jambi,2020,7085.5
Jawa Barat,2020,127.93055555555556
Jawa Tengah,2020,77.24305555555556
Jawa Timur,2020,130.29276315789474
Kalimantan Barat,2020,8582.42857142857
Kalimantan Selatan,2020,1615.3076923076924
Kalimantan Tengah,2020,6422.223214285715
Kalimantan Timur,2020,8249.767857142857
Kepulauan Bangka Belitung,2020,3499.964285714286
Kepulauan Riau,2020,1244.5892857142858
Lampung,2020,715.2053571428571
Maluku,2020,512.5
Maluku Utara,2020,822.2222222222222
Nusa Tenggara Barat,2020,671.1375
Nusa Tenggara Timur,2020,319.6428571428572
Papua,2020,1026.4224137931035
Papua Barat,2020,1476.5795454545455
Riau,2020,7885.03125
Sulawesi Barat,2020,1692.55
Sulawesi Selatan,2020,592.7291666666666
Sulawesi Tengah,2020,2418.7954545454545
Sulawesi Tenggara,2020,1575.0208333333333
Sulawesi Utara,2020,208.91666666666663
Sumatera Barat,2020,1513.425
Sumatera Selatan,2020,7146.691666666667
Sumatera Utara,2020,1483.889705882353
Aceh,2021,1375.266304347826
Bali,2021,22.694444444444443
Banten,2021,235.734375
Bengkulu,2021,1435.425
DI Yogyakarta,2021,13.675
DKI Jakarta,2021,0.1666666666666666
Gorontalo,2021,316.82142857142856
Jambi,2021,6616.056818181818
Jawa Barat,2021,95.68055555555556
Jawa Tengah,2021,59.364583333333336
Jawa Timur,2021,95.15131578947368
Kalimantan Barat,2021,7696.919642857143
Kalimantan Selatan,2021,1708.5961538461538
Kalimantan Tengah,2021,3791.482142857143
Kalimantan Timur,2021,6625.794642857143
Kepulauan Bangka Belitung,2021,4401.142857142857
Kepulauan Riau,2021,621.1785714285714
Lampung,2021,586.5357142857143
Maluku,2021,339.5568181818182
Maluku Utara,2021,669.4305555555555
Nusa Tenggara Barat,2021,487.375
Nusa Tenggara Timur,2021,473.1011904761905
Papua,2021,905.5862068965516
Papua Barat,2021,1107.4772727272727
Riau,2021,7961.729166666667
Sulawesi Barat,2021,1961.65
Sulawesi Selatan,2021,426.2395833333333
Sulawesi Tengah,2021,2042.261363636364
Sulawesi Tenggara,2021,1036.5208333333333
Sulawesi Utara,2021,189.025
Sumatera Barat,2021,1781.55
Sumatera Selatan,2021,5140.908333333334
Sumatera Utara,2021,1749.341911764706
Aceh,2022,1289.9076086956522
Bali,2022,29.76388888888889
Banten,2022,190.46875
Bengkulu,2022,2381.5625
DI Yogyakarta,2022,7.4
DKI Jakarta,2022,0.0
Gorontalo,2022,405.7678571428572
Jambi,2022,6841.306818181818
Jawa Barat,2022,95.73148148148148
Jawa Tengah,2022,59.15277777777778
Jawa Timur,2022,78.71381578947368
Kalimantan Barat,2022,9700.589285714286
Kalimantan Selatan,2022,1390.5096153846157
Kalimantan Tengah,2022,5165.482142857143
Kalimantan Timur,2022,5630.669642857143
Kepulauan Bangka Belitung,2022,4837.464285714285
Kepulauan Riau,2022,402.8571428571428
Lampung,2022,532.4464285714286
Maluku,2022,460.14772727272725
Maluku Utara,2022,704.4305555555555
Nusa Tenggara Barat,2022,566.125
Nusa Tenggara Timur,2022,341.7738095238095
Papua,2022,983.8706896551724
Papua Barat,2022,1248.6022727272727
Riau,2022,7247.052083333333
Sulawesi Barat,2022,1998.15
Sulawesi Selatan,2022,667.8177083333334
Sulawesi Tengah,2022,2230.318181818182
Sulawesi Tenggara,2022,1115.1770833333333
Sulawesi Utara,2022,182.4833333333333
Sumatera Barat,2022,1771.05625
Sumatera Selatan,2022,5791.358333333334
Sumatera Utara,2022,1458.8235294117646
